Sum all Absenteeism,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Child,Social drinker,Social smoker,Pet
88,6,3,3,235,20,13,43,253.957,95,0,1,1,1,0,0
362,6,2,1,179,51,18,38,253.957,95,0,1,0,1,0,0
219,6,4,1,225,26,9,28,253.957,95,0,1,1,0,0,2
63,6,4,1,118,13,18,50,253.957,95,0,1,1,1,0,0
362,6,4,1,179,51,18,38,253.957,95,0,1,0,1,0,0
117,6,4,1,179,26,9,30,253.957,95,0,3,0,0,0,0
118,6,6,1,246,25,16,41,253.957,95,0,1,0,1,0,0
78,6,3,1,330,16,4,28,253.957,95,0,2,0,0,0,0
105,6,3,1,235,11,14,37,253.957,95,0,3,1,0,0,1
117,7,5,1,179,26,9,30,230.29,92,0,3,0,0,0,0
219,7,5,1,225,26,9,28,230.29,92,0,1,1,0,0,2
178,7,6,1,260,50,11,36,230.29,92,0,1,1,1,0,0
16,7,2,1,268,11,8,33,230.29,92,0,2,0,0,0,0
78,7,6,1,330,16,4,28,230.29,92,0,2,0,0,0,0
192,7,6,1,118,10,10,37,230.29,92,0,1,0,0,0,0
178,7,2,1,260,50,11,36,230.29,92,0,1,1,1,0,0
192,7,3,1,118,10,10,37,230.29,92,0,1,0,0,0,0
19,7,2,1,300,26,13,43,230.29,92,0,1,1,1,1,1
25,7,2,1,235,29,12,48,230.29,92,0,1,1,0,1,5
118,7,3,1,246,25,16,41,230.29,92,0,1,0,1,0,0
362,7,3,1,179,51,18,38,230.29,92,0,1,0,1,0,0
63,7,6,1,118,13,18,50,230.29,92,0,1,1,1,0,0
146,7,6,1,361,52,3,28,230.29,92,0,1,1,1,0,4
210,7,2,1,289,36,13,33,230.29,92,0,1,1,1,0,1
88,7,2,1,235,20,13,43,230.29,92,0,1,1,1,0,0
118,7,3,1,246,25,16,41,230.29,92,0,1,0,1,0,0
101,7,5,1,291,31,12,40,230.29,92,0,1,1,1,0,1
14,7,5,1,279,5,14,39,230.29,92,0,1,1,1,1,0
362,8,5,1,179,51,18,38,249.797,93,0,1,0,1,0,0
86,8,2,1,179,22,17,40,249.797,93,0,2,1,0,1,0
118,8,3,1,246,25,16,41,249.797,93,0,1,0,1,0,0
192,8,3,1,118,10,10,37,249.797,93,0,1,0,0,0,0
210,8,3,1,289,36,13,33,249.797,93,0,1,1,1,0,1
88,8,3,1,235,20,13,43,249.797,93,0,1,1,1,0,0
101,8,5,1,291,31,12,40,249.797,93,0,1,1,1,0,1
362,8,2,1,179,51,18,38,249.797,93,0,1,0,1,0,0
86,8,3,1,179,22,17,40,249.797,93,0,2,1,0,1,0
105,8,3,1,235,11,14,37,249.797,93,0,3,1,0,0,1
118,8,3,1,246,25,16,41,249.797,93,0,1,0,1,0,0
192,8,3,1,118,10,10,37,249.797,93,0,1,0,0,0,0
101,8,5,1,291,31,12,40,249.797,93,0,1,1,1,0,1
178,8,2,1,260,50,11,36,249.797,93,0,1,1,1,0,0
118,9,3,1,246,25,16,41,261.756,87,0,1,0,1,0,0
118,9,3,1,246,25,16,41,261.756,87,0,1,0,1,0,0
192,9,3,1,118,10,10,37,261.756,87,0,1,0,0,0,0
76,9,3,1,155,12,14,34,261.756,87,0,1,1,1,0,0
101,9,5,1,291,31,12,40,261.756,87,0,1,1,1,0,1
117,9,6,1,179,26,9,30,261.756,87,0,3,0,0,0,0
73,9,6,1,248,25,14,47,261.756,87,0,1,1,0,0,1
362,9,2,1,179,51,18,38,261.756,87,0,1,0,1,0,0
219,9,4,1,225,26,9,28,261.756,87,0,1,1,0,0,2
117,9,2,1,179,26,9,30,261.756,87,0,3,0,0,0,0
79,9,3,4,369,17,12,31,261.756,87,0,1,1,1,0,0
146,9,3,4,361,52,3,28,261.756,87,0,1,1,1,0,4
16,10,5,4,289,48,29,49,284.853,91,0,1,0,0,0,2
42,10,5,4,235,16,8,32,284.853,91,0,3,0,0,0,0
118,10,6,4,246,25,16,41,284.853,91,0,1,0,1,0,0
16,10,4,4,289,48,29,49,284.853,91,0,1,0,0,0,2
101,10,4,4,291,31,12,40,284.853,91,0,1,1,1,0,1
192,10,3,4,118,10,10,37,284.853,91,0,1,0,0,0,0
16,10,5,4,289,48,29,49,284.853,91,0,1,0,0,0,2
101,10,6,4,291,31,12,40,284.853,91,0,1,1,1,0,1
219,10,3,4,225,26,9,28,284.853,91,0,1,1,0,0,2
79,10,3,4,369,17,12,31,284.853,91,0,1,1,1,0,0
79,10,3,4,369,17,12,31,284.853,91,0,1,1,1,0,0
219,10,3,4,225,26,9,28,284.853,91,0,1,1,0,0,2
79,10,3,4,369,17,12,31,284.853,91,0,1,1,1,0,0
362,10,4,4,179,51,18,38,284.853,91,0,1,0,1,0,0
30,10,4,4,228,14,16,58,284.853,91,0,1,1,0,0,1
101,10,4,4,291,31,12,40,284.853,91,0,1,1,1,0,1
79,10,5,4,369,17,12,31,284.853,91,0,1,1,1,0,0
219,10,5,4,225,26,9,28,284.853,91,0,1,1,0,0,2
79,10,6,4,369,17,12,31,284.853,91,0,1,1,1,0,0
219,10,6,4,225,26,9,28,284.853,91,0,1,1,0,0,2
56,10,2,4,189,29,13,33,284.853,91,0,1,1,0,0,2
42,10,2,4,235,16,8,32,284.853,91,0,3,0,0,0,0
73,10,2,4,248,25,14,47,284.853,91,0,1,1,0,0,1
219,10,2,4,225,26,9,28,284.853,91,1,1,1,0,0,2
219,10,3,4,225,26,9,28,284.853,91,0,1,1,0,0,2
362,11,3,4,179,51,18,38,268.519,93,0,1,0,1,0,0
192,11,4,4,118,10,10,37,268.519,93,0,1,0,0,0,0
362,11,6,4,179,51,18,38,268.519,93,0,1,0,1,0,0
192,11,3,4,118,10,10,37,268.519,93,0,1,0,0,0,0
210,11,4,4,289,36,13,33,268.519,93,0,1,1,1,0,1
42,11,6,4,235,16,8,32,268.519,93,0,3,0,0,0,0
219,11,6,4,225,26,9,28,268.519,93,0,1,1,0,0,2
146,11,3,4,361,52,3,28,268.519,93,0,1,1,1,0,4
101,11,4,4,291,31,12,40,268.519,93,0,1,1,1,0,1
192,11,5,4,118,10,10,37,268.519,93,0,1,0,0,0,0
219,11,5,4,225,26,9,28,268.519,93,0,1,1,0,0,2
362,11,2,4,179,51,18,38,268.519,93,0,1,0,1,0,0
192,11,2,4,118,10,10,37,268.519,93,0,1,0,0,0,0
192,11,3,4,118,10,10,37,268.519,93,0,1,0,0,0,0
219,11,3,4,225,26,9,28,268.519,93,0,1,1,0,0,2
101,11,3,4,291,31,12,40,268.519,93,1,1,1,1,0,1
210,11,4,4,289,36,13,33,268.519,93,1,1,1,1,0,1
73,11,5,4,248,25,14,47,268.519,93,0,1,1,0,0,1
88,11,5,4,235,20,13,43,268.519,93,1,1,1,1,0,0
219,11,6,4,225,26,9,28,268.519,93,0,1,1,0,0,2
79,11,6,4,369,17,12,31,268.519,93,0,1,1,1,0,0
146,11,2,4,361,52,3,28,268.519,93,0,1,1,1,0,4
101,12,4,4,291,31,12,40,280.549,98,0,1,1,1,0,1
219,12,4,4,225,26,9,28,280.549,98,0,1,1,0,0,2
117,12,6,4,179,26,9,30,280.549,98,0,3,0,0,0,0
219,12,6,4,225,26,9,28,280.549,98,0,1,1,0,0,2
219,12,4,4,225,26,9,28,280.549,98,0,1,1,0,0,2
146,12,5,4,361,52,3,28,280.549,98,0,1,1,1,0,4
86,12,6,4,179,22,17,40,280.549,98,0,2,1,0,1,0
88,12,6,4,235,20,13,43,280.549,98,0,1,1,1,0,0
34,12,2,4,233,51,1,31,280.549,98,0,2,1,1,0,8
219,12,3,4,225,26,9,28,280.549,98,0,1,1,0,0,2
219,12,5,4,225,26,9,28,280.549,98,0,1,1,0,0,2
219,12,2,4,225,26,9,28,280.549,98,0,1,1,0,0,2
86,1,5,2,179,22,17,40,313.532,96,0,2,1,0,1,0
86,1,6,2,179,22,17,40,313.532,96,0,2,1,0,1,0
117,1,2,2,179,26,9,30,313.532,96,0,3,0,0,0,0
86,1,4,2,179,22,17,40,313.532,96,0,2,1,0,1,0
16,1,5,2,289,48,29,49,313.532,96,0,1,0,0,0,2
86,1,6,2,179,22,17,40,313.532,96,0,2,1,0,1,0
117,1,2,2,179,26,9,30,313.532,96,0,3,0,0,0,0
76,1,3,2,155,12,14,34,313.532,96,0,1,1,1,0,0
117,1,4,2,179,26,9,30,313.532,96,0,3,0,0,0,0
362,1,4,2,179,51,18,38,313.532,96,0,1,0,1,0,0
210,1,4,2,289,36,13,33,313.532,96,0,1,1,1,0,1
362,1,5,2,179,51,18,38,313.532,96,0,1,0,1,0,0
362,1,6,2,179,51,18,38,313.532,96,0,1,0,1,0,0
362,2,3,2,179,51,18,38,264.249,97,0,1,0,1,0,0
219,2,3,2,225,26,9,28,264.249,97,0,1,1,0,0,2
73,2,4,2,248,25,14,47,264.249,97,0,1,1,0,0,1
362,2,4,2,179,51,18,38,264.249,97,0,1,0,1,0,0
219,2,5,2,225,26,9,28,264.249,97,0,1,1,0,0,2
362,2,5,2,179,51,18,38,264.249,97,0,1,0,1,0,0
117,2,5,2,179,26,9,30,264.249,97,0,3,0,0,0,0
21,2,6,2,225,15,15,41,264.249,97,0,4,1,1,0,2
362,2,6,2,179,51,18,38,264.249,97,0,1,0,1,0,0
34,2,2,2,233,51,1,31,264.249,97,0,2,1,1,0,8
362,2,2,2,179,51,18,38,264.249,97,0,1,0,1,0,0
219,2,3,2,225,26,9,28,264.249,97,0,1,1,0,0,2
362,2,4,2,179,51,18,38,264.249,97,0,1,0,1,0,0
362,2,5,2,179,51,18,38,264.249,97,0,1,0,1,0,0
219,2,5,2,225,26,9,28,264.249,97,0,1,1,0,0,2
117,2,5,2,179,26,9,30,264.249,97,0,3,0,0,0,0
86,2,6,2,179,22,17,40,264.249,97,0,2,1,0,1,0
362,2,6,2,179,51,18,38,264.249,97,0,1,0,1,0,0
34,2,4,2,233,51,1,31,264.249,97,0,2,1,1,0,8
117,2,4,2,179,26,9,30,264.249,97,0,3,0,0,0,0
362,2,4,2,179,51,18,38,264.249,97,0,1,0,1,0,0
362,2,5,2,179,51,18,38,264.249,97,0,1,0,1,0,0
362,2,6,2,179,51,18,38,264.249,97,0,1,0,1,0,0
76,2,2,2,155,12,14,34,264.249,97,0,1,1,1,0,0
42,2,2,2,235,16,8,32,264.249,97,0,3,0,0,0,0
362,2,2,2,179,51,18,38,264.249,97,0,1,0,1,0,0
219,2,2,2,225,26,9,28,264.249,97,0,1,1,0,0,2
362,2,3,2,179,51,18,38,264.249,97,0,1,0,1,0,0
73,2,3,2,248,25,14,47,264.249,97,0,1,1,0,0,1
219,2,3,2,225,26,9,28,264.249,97,0,1,1,0,0,2
362,2,4,2,179,51,18,38,264.249,97,0,1,0,1,0,0
362,2,5,2,179,51,18,38,264.249,97,0,1,0,1,0,0
42,2,6,2,235,16,8,32,264.249,97,0,3,0,0,0,0
362,3,2,2,179,51,18,38,222.196,99,0,1,0,1,0,0
73,3,2,2,248,25,14,47,222.196,99,0,1,1,0,0,1
30,3,3,2,228,14,16,58,222.196,99,0,1,1,0,0,1
73,3,3,2,248,25,14,47,222.196,99,0,1,1,0,0,1
362,3,4,2,179,51,18,38,222.196,99,0,1,0,1,0,0
219,3,5,2,225,26,9,28,222.196,99,0,1,1,0,0,2
362,3,5,2,179,51,18,38,222.196,99,0,1,0,1,0,0
219,3,5,2,225,26,9,28,222.196,99,0,1,1,0,0,2
117,3,6,2,179,26,9,30,222.196,99,0,3,0,0,0,0
42,3,2,2,235,16,8,32,222.196,99,0,3,0,0,0,0
146,3,2,2,361,52,3,28,222.196,99,0,1,1,1,0,4
362,3,3,2,179,51,18,38,222.196,99,0,1,0,1,0,0
362,3,4,2,179,51,18,38,222.196,99,0,1,0,1,0,0
362,3,5,2,179,51,18,38,222.196,99,0,1,0,1,0,0
117,3,6,2,179,26,9,30,222.196,99,0,3,0,0,0,0
362,3,2,2,179,51,18,38,222.196,99,0,1,0,1,0,0
73,3,2,2,248,25,14,47,222.196,99,0,1,1,0,0,1
362,3,2,2,179,51,18,38,222.196,99,0,1,0,1,0,0
219,3,2,2,225,26,9,28,222.196,99,0,1,1,0,0,2
362,3,3,2,179,51,18,38,222.196,99,0,1,0,1,0,0
210,3,4,2,289,36,13,33,222.196,99,0,1,1,1,0,1
30,3,4,2,228,14,16,58,222.196,99,0,1,1,0,0,1
362,3,4,2,179,51,18,38,222.196,99,0,1,0,1,0,0
73,3,5,2,248,25,14,47,222.196,99,0,1,1,0,0,1
362,3,5,2,179,51,18,38,222.196,99,0,1,0,1,0,0
117,3,6,2,179,26,9,30,222.196,99,0,3,0,0,0,0
362,3,6,2,179,51,18,38,222.196,99,0,1,0,1,0,0
362,3,3,3,179,51,18,38,222.196,99,0,1,0,1,0,0
16,3,4,3,118,15,24,46,222.196,99,0,1,1,1,1,0
362,3,4,3,179,51,18,38,222.196,99,0,1,0,1,0,0
362,3,5,3,179,51,18,38,222.196,99,0,1,0,1,0,0
117,3,2,3,179,26,9,30,222.196,99,0,3,0,0,0,0
79,3,4,3,369,17,12,31,222.196,99,0,1,1,1,0,0
219,4,2,3,225,26,9,28,246.288,91,0,1,1,0,0,2
192,4,2,3,118,10,10,37,246.288,91,0,1,0,0,0,0
146,4,3,3,361,52,3,28,246.288,91,0,1,1,1,0,4
73,4,4,3,248,25,14,47,246.288,91,0,1,1,0,0,1
56,4,5,3,189,29,13,33,246.288,91,0,1,1,0,0,2
117,4,6,3,179,26,9,30,246.288,91,0,3,0,0,0,0
86,4,3,3,179,22,17,40,246.288,91,0,2,1,0,1,0
63,4,3,3,118,13,18,50,246.288,91,0,1,1,1,0,0
146,4,3,3,361,52,3,28,246.288,91,0,1,1,1,0,4
192,4,4,3,118,10,10,37,246.288,91,0,1,0,0,0,0
105,4,6,3,235,11,14,37,246.288,91,0,3,1,0,0,1
117,4,6,3,179,26,9,30,246.288,91,0,3,0,0,0,0
219,4,2,3,225,26,9,28,246.288,91,0,1,1,0,0,2
42,4,3,3,235,16,8,32,246.288,91,0,3,0,0,0,0
117,4,6,3,179,26,9,30,246.288,91,0,3,0,0,0,0
76,4,3,3,155,12,14,34,246.288,91,0,1,1,1,0,0
219,4,5,3,225,26,9,28,246.288,91,0,1,1,0,0,2
63,4,5,3,118,13,18,50,246.288,91,0,1,1,1,0,0
117,4,6,3,179,26,9,30,246.288,91,0,3,0,0,0,0
105,5,2,3,235,11,14,37,237.656,99,0,3,1,0,0,1
21,5,4,3,225,15,15,41,237.656,99,0,4,1,1,0,2
42,5,4,3,235,16,8,32,237.656,99,0,3,0,0,0,0
192,5,4,3,118,10,10,37,237.656,99,0,1,0,0,0,0
88,5,4,3,235,20,13,43,237.656,99,0,1,1,1,0,0
117,5,5,3,179,26,9,30,237.656,99,0,3,0,0,0,0
101,5,5,3,291,31,12,40,237.656,99,0,1,1,1,0,1
21,5,5,3,225,15,15,41,237.656,99,0,4,1,1,0,2
21,5,6,3,225,15,15,41,237.656,99,0,4,1,1,0,2
117,5,6,3,179,26,9,30,237.656,99,0,3,0,0,0,0
63,5,2,3,118,13,18,50,237.656,99,0,1,1,1,0,0
63,5,3,3,118,13,18,50,237.656,99,0,1,1,1,0,0
192,5,3,3,118,10,10,37,237.656,99,0,1,0,0,0,0
63,5,3,3,118,13,18,50,237.656,99,1,1,1,1,0,0
117,5,4,3,179,26,9,30,237.656,99,0,3,0,0,0,0
40,5,4,3,378,49,11,36,237.656,99,1,1,1,0,1,4
86,5,6,3,179,22,17,40,237.656,99,0,2,1,0,1,0
42,5,2,3,235,16,8,32,237.656,99,0,3,0,0,0,0
101,5,4,3,291,31,12,40,237.656,99,0,1,1,1,0,1
86,5,4,3,179,22,17,40,237.656,99,0,2,1,0,1,0
219,5,4,3,225,26,9,28,237.656,99,0,1,1,0,0,2
78,5,5,3,330,16,4,28,237.656,99,0,2,0,0,0,0
42,5,5,3,235,16,8,32,237.656,99,0,3,0,0,0,0
101,5,5,3,291,31,12,40,237.656,99,0,1,1,1,0,1
117,5,6,3,179,26,9,30,237.656,99,0,3,0,0,0,0
146,5,2,3,361,52,3,28,237.656,99,0,1,1,1,0,4
76,5,4,3,155,12,14,34,237.656,99,0,1,1,1,0,0
86,5,6,3,179,22,17,40,237.656,99,0,2,1,0,1,0
76,5,6,3,155,12,14,34,237.656,99,0,1,1,1,0,0
219,5,2,3,225,26,9,28,237.656,99,0,1,1,0,0,2
16,6,4,3,118,15,24,46,275.089,96,0,1,1,1,1,0
117,6,4,3,179,26,9,30,275.089,96,0,3,0,0,0,0
192,6,6,3,118,10,10,37,275.089,96,0,1,0,0,0,0
192,6,4,3,118,10,10,37,275.089,96,0,1,0,0,0,0
40,6,5,3,378,49,11,36,275.089,96,0,1,1,0,1,4
34,6,6,3,233,51,1,31,275.089,96,0,2,1,1,0,8
117,6,6,3,179,26,9,30,275.089,96,0,3,0,0,0,0
25,6,2,3,235,29,12,48,275.089,96,1,1,1,0,1,5
16,6,2,3,268,11,8,33,275.089,96,1,2,0,0,0,0
63,6,5,3,118,13,18,50,275.089,96,0,1,1,1,0,0
117,6,5,3,179,26,9,30,275.089,96,0,3,0,0,0,0
101,6,5,3,291,31,12,40,275.089,96,0,1,1,1,0,1
117,6,2,1,179,26,9,30,275.089,96,0,3,0,0,0,0
192,6,2,1,118,10,10,37,275.089,96,0,1,0,0,0,0
34,6,5,1,233,51,1,31,275.089,96,0,2,1,1,0,8
192,6,6,1,118,10,10,37,275.089,96,0,1,0,0,0,0
192,6,4,1,118,10,10,37,275.089,96,0,1,0,0,0,0
34,6,4,1,233,51,1,31,275.089,96,0,2,1,1,0,8
88,7,4,1,235,20,13,43,264.604,93,0,1,1,1,0,0
34,7,6,1,233,51,1,31,264.604,93,0,2,1,1,0,8
30,7,2,1,228,14,16,58,264.604,93,0,1,1,0,0,1
192,7,2,1,118,10,10,37,264.604,93,0,1,0,0,0,0
192,7,4,1,118,10,10,37,264.604,93,0,1,0,0,0,0
146,7,4,1,361,52,3,28,264.604,93,0,1,1,1,0,4
219,7,4,1,225,26,9,28,264.604,93,0,1,1,0,0,2
210,7,3,1,289,36,13,33,264.604,93,0,1,1,1,0,1
105,7,3,1,235,11,14,37,264.604,93,0,3,1,0,0,1
0,0,3,1,118,14,13,40,271.219,95,0,1,1,1,0,8
0,0,4,2,231,35,14,39,271.219,95,0,1,1,1,0,2
0,0,6,3,179,45,14,53,271.219,95,0,1,1,0,0,1
